name,sku,category,base_unit,description
"SOLID WOOD IROKO 2""X7""X9'",00-50003886,Others,piece,
"SOLID WOOD IROKO 2""X9""X14'",00-00000199,Others,m,
"SOLID WOOD IROKO 3""X10""X8'",00-00000241,Others,ft,
"SOLID WOOD IROKO 3""X7""X10'",00-50003887,Others,piece,
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 2""X6"" AND WIDER",00-50002630,Others,ft,
WHITE WOOD 2x2x 4 MTR,00-50002757,Others,piece,
WHITE WOOD 4''x2''x4 MTR,00-50003438,Others,piece,
"3 PIECE AJDUSTABLE GROOVING SET 160X4-15X40, Z-2+4+4 694.001.40",00-50002974,Others,piece,
"ADJUSTABLE GROOVING CUTTER 160X15.5-30X40, Z-4+4 2030.160.015/76 B-40",00-50002973,Others,piece,
AIR HOSE HANGER,00-50002599,Others,piece,
AIR HOSE PIPE - BLACK,00-50002922,Others,m,
AIR NAIL GUN 0 PIN - T625B,00-50002672,Others,piece,
AIR NAIL GUN F-30 PIN,00-50003146,Others,piece,
ALLEN KEY SET,00-50003183,Others,piece,
ALUMINUM A TYPE LADDER-2 MTR HEIGHT,00-50003018,Others,piece,
ALUMINUM CUTTER BLADE: 297.080.10M,00-50003873,Others,piece,
ALUMINUM FOLDABLE LADDER - 2.5 MTR HEIGHT,00-50003517,Others,piece,
ALUMINUM STICK FOR PAINT ROLLER,00-50003524,Others,piece,
CASTER WHEEL 100MM HEIGHT,00-50003057,Others,piece,
CHAIN SAW BLADE,00-50002682,Others,piece,
CHALK LINE,00-50003198,Others,piece,
CHISEL 12MM,00-50003172,Others,piece,
CHISEL 18MM,00-50003173,Others,piece,
CHISEL 25MM,00-50003174,Others,piece,
CHISEL 32MM,00-50003175,Others,piece,
CHISEL 6MM,00-50003171,Others,piece,
CLAMP 1000MM,00-50003871,Others,piece,
"CLAMP 24""",00-50003168,Others,piece,
CLAMP FOR DRAWERS - C TYPE,00-50003466,Others,piece,
CONCRETE BIT 10MM DIA,00-50003583,Others,piece,
CONCRETE BIT 12MM DIA,00-50003584,Others,piece,
CONCRETE BIT 13MM DIA,00-50003585,Others,piece,
CONCRETE BIT 14MM DIA,00-50003586,Others,piece,
CONCRETE BIT 6MM DIA,00-50002856,Others,piece,
CONCRETE BIT 8MM DIA,00-50002857,Others,piece,
CORDLESS DRILL DRIVER 18V (MAKITA),00-50003170,Others,piece,
CORDLESS TIGHTER DRILL - 18V,00-50003470,Others,piece,
COUNTER BIT 12MM - METAL,00-50003551,Others,piece,
COUNTER BIT 3.5MM,00-50002924,Others,piece,
COUNTERSINK DRILL BIT SET,00-50002839,Others,set,
CUTTING PLIER,00-50003065,Others,piece,
DRILL MACHINE HILTI - MAKITA,00-50003282,Others,piece,
ELECTRIC BLOWER,00-50003358,Others,piece,
ELECTRIC MULTIMETER,00-50003071,Others,piece,
ELECTRIC SCREW DRIVER SET,00-50003067,Others,set,
ELECTRICAL TESTER - BIG,00-50003063,Others,piece,
ELECTRICAL TESTER - SMALL,00-50003064,Others,piece,
FIRST AID BOX,00-50002600,Others,box,
FLAT WOODEN BIT 10MM TO 32MM,00-50002847,Others,set,
GLASS SCRAPPER,00-50003850,Others,piece,
GRIP PLIER,00-50003069,Others,piece,
GROOVING CUTTER FOR SIX HEAD MOULDER - CMT,00-50002971,Others,piece,
HACKSAW FRAME,00-50003196,Others,piece,
HALF ROUND FILE,00-50003197,Others,piece,
HAMMER 50 GRAM,00-50003178,Others,piece,
HAND PLANNER (RANDA),00-50003195,Others,piece,
HAND SANDER,00-50003452,Others,piece,
HAND SAW,00-50003182,Others,piece,
HYDRAULIC PALLET TRUCK - 3 TON,00-50002775,Others,piece,
JIGSAW BLADE-A85628,00-50002851,Others,piece,
KNIFE BLADE WITH HANDLE,00-50003181,Others,piece,
LINE DORI,00-50003186,Others,piece,
MACHINE BELT 535,00-50002918,Others,piece,
MACHINE BELT 560,00-50002917,Others,piece,
MACHINE BELT 575,00-50002919,Others,piece,
MACHINE BELT 660J / 260J,00-50004028,Others,piece,
MAKITA LS 1216 SAW - BALL BEARING 6003 DDW3620 / 904,00-50002992,Others,piece,
MAKITA LS 1216 SAW - CARBON BUSH 153,00-50002996,Others,piece,
MAKITA LS 1216 SAW - PART NO: 12-211275-8,00-50002993,Others,piece,
MAKITA LS 1216 SAW - PART NO: 14-510159-0 220V,00-50002994,Others,piece,
MAKITA LS 1216 SAW - PART NO: 325695-1,00-50003989,Others,piece,
MAKITA LS 1216 SAW - PART NO: 517844-6,00-50003990,Others,piece,
MAKITA LS 1216 SAW - PART NO: 638652-3 LASER SWITCH UNIT,00-50003991,Others,piece,
MAKITA LS 1216 SAW - PART NO: 69-227550-2,00-50002995,Others,piece,
MAKITA SANDING MACHINE MODEL-BO4900,00-50003667,Others,piece,
MAKITA TIGHTER DRILL - 28V,00-50002984,Others,piece,
MANUAL STRAPPING TOOL15MM,00-50002981,Others,piece,
MELAMINE CUTTER BLADE: JZX110.30 2022.09,00-50002965,Others,piece,
MELAMINE CUTTER BLADE: JZX200.60 2022.11,00-50002964,Others,piece,
MOULDER PROFILE BLADE - F36,00-50002977,Others,piece,
MOULDER PROFILE BLADE - F502,00-50002978,Others,piece,
NAIL CATCHER,00-50003179,Others,piece,
"NIDDLE FILE 12""",00-50003176,Others,piece,
NOSE PLIER,00-50003070,Others,piece,
OLAMBA,00-50003177,Others,piece,
OPEN END SPANNER SET,00-50003087,Others,set,
PART NO 152600-3 - JIGSAW MACHINE MAKITA 4329,00-50003915,Others,piece,
PART NO 153260-4 - JIGSAW MACHINE MAKITA 4329,00-50003916,Others,piece,
PART NO 153361-8 - SANDING MACHINE MAKITA BO-4900,00-50003244,Others,piece,
PART NO 153362-6 - SANDING MACHINE MAKITA BO-4900,00-50003245,Others,piece,
PART NO 158392-2 - JIGSAW MACHINE MAKITA 4329,00-50003911,Others,piece,
PART NO 195010-1 - TRIMMER MACHINE MAKITA RT0702C,00-50003925,Others,piece,
PART NO 210301 - TRIMMER MACHINE MAKITA RT0702C,00-50003927,Others,piece,
PART NO 253874-0 - SANDING MACHINE MAKITA BO-4900,00-50003242,Others,piece,
PART NO 253906 - TRIMMER MACHINE MAKITA RT0702C,00-50003928,Others,piece,
PART NO 256117-9 - JIGSAW MACHINE MAKITA 4329,00-50003912,Others,piece,
PART NO 257659-6 - SANDING MACHINE MAKITA BO-4900,00-50003243,Others,piece,
PART NO 257683-9 - JIGSAW MACHINE MAKITA 4329,00-50003917,Others,piece,
PART NO 266042-6 - SANDING MACHINE MAKITA BO-4900,00-50003241,Others,piece,
PART NO 266177-3 - JIGSAW MACHINE MAKITA 4329,00-50003921,Others,piece,
PART NO 313082-6 - JIGSAW MACHINE MAKITA 4329,00-50003919,Others,piece,
PART NO 313140-8 - JIGSAW MACHINE MAKITA 4329,00-50003922,Others,piece,
PART NO 317796-9 - JIGSAW MACHINE MAKITA 4329,00-50003913,Others,piece,
PART NO 344613-0 - JIGSAW MACHINE MAKITA 4329,00-50003918,Others,piece,
PART NO 345441-6 - JIGSAW MACHINE MAKITA 4329,00-50003914,Others,piece,
PART NO 3601FA00F1 - TRIMMER MACHINE BOSCH GFK550,00-50003929,Others,piece,
PART NO 620L08-6-1 X 340 CONTROLLER - ROUTER MACHINE MAKITA DRT.50,00-50003982,Others,piece,
PART NO 643550-8 - TRIMMER MACHINE MAKITA RT0702C,00-50003924,Others,piece,
PART NO 922107-1 - JIGSAW MACHINE MAKITA 4329,00-50003923,Others,piece,
PART NO 961002-0 - JIGSAW MACHINE MAKITA 4329,00-50003920,Others,piece,
PART NO 961057-5 - TRIMMER MACHINE MAKITA RT0702C,00-50003926,Others,piece,
"PEDESTAL FAN 18""",00-50002970,Others,piece,
PNEUMATIC AIRLESS SPRAY PAINT MACHINE K99301,00-50002671,Others,piece,
PUTTY SCRAPPER,00-50003616,Others,box,
"RABBETING CUTTER HEAD 125X60X40, Z-4+4 - 2090.125.060 B40",00-50002972,Others,piece,
"RIGHT ANGLE 12""",00-50003185,Others,piece,
ROTARY HAMMER DRILL HR2630 - MAKITA,00-50003858,Others,piece,
ROUTER BIT 08MM - TOP BEARING,00-50003513,Others,piece,
ROUTER BIT 10MM - BOTTOM BEARING,00-50002854,Others,piece,
ROUTER BIT 10MM - TOP BEARING,00-50002855,Others,piece,
ROUTER BIT 15MM - ARDEN - 152615B,00-50003994,Others,piece,
ROUTER BIT 18MM DIA,00-50003514,Others,piece,
ROUTER BIT 20MM - MAKITA - 13742,00-50003993,Others,piece,
ROUTER BIT 3MM - MAKITA - PND-12136,00-50003251,Others,piece,
ROUTER BIT 6MM - BOTTOM BEARING,00-50002853,Others,piece,
ROUTER BIT 6MM DIA,00-50002852,Others,piece,
ROUTER FC - RP 2300 - PART NO: 158973-2,00-50002989,Others,piece,
ROUTER FC - RP 2300 - PART NO: 450951-1,00-50002990,Others,piece,
ROUTER FC - RP 2300 - PART NO: 517808-0,00-50002991,Others,piece,
ROUTER MACHINE BIG - RP2300FC,00-50002681,Others,piece,
ROUTER MACHINE RP0900 - MAKITA,00-50003856,Others,piece,
ROUTER MACHINE SMALL - 3709,00-50002680,Others,piece,
SCREW DRIVER (MINUS / PLUS),00-50003194,Others,piece,
SEWING MACHINE - JUKI DDL 8100E,00-50003872,Others,piece,
SHARPENING STONE,00-50003184,Others,piece,
SIDE CUTTER PLIER,00-50003066,Others,piece,
SILICONE GUN,00-50003199,Others,piece,
SLIDE COMPOUND MAKITA-LS1018LN,00-50003857,Others,piece,
"SOCKET SET 3/8"" 40PCS",00-50002980,Others,set,
SOLDERING IRON,00-50002985,Others,set,
"SPILIT LEVEL 12""",00-50003180,Others,piece,
SQUARE SCRAPER WITH PLASTIC HANDLE,00-50002770,Others,set,
STAR BIT DOUBLE ENDED 150MM,00-50002850,Others,piece,
STAR BIT DOUBLE ENDED 50MM,00-50002848,Others,piece,
STAR BIT DOUBLE ENDED 80MM,00-50002849,Others,piece,
"TCT PANEL SIZING SAW BLADES 355X4.4X3.2X65+4, Z-72, TCG 282.072.14J2",00-50002975,Others,piece,
TCT SCORING SAW BLADE 200X4.3- 288.200.36J,00-50002976,Others,piece,
TCT SCORING SAW BLADE 288.120.24H,00-50003591,Others,piece,
TOOL BOX - FULL SET,00-50002983,Others,set,
TRIMMER 3700 B 6MM - PART NO: 181021-2 CARBON BUSH CB-51,00-50002998,Others,piece,
TRIMMER 3700 B 6MM - PART NO: 511698-3 AREMATURE 220V,00-50002997,Others,piece,
TRISHUL BIT 10MM,00-50003187,Others,piece,
TRISHUL BIT 12MM,00-50003188,Others,piece,
TRISHUL BIT 18MM,00-50003189,Others,piece,
TRISHUL BIT 20MM,00-50003190,Others,piece,
TRISHUL BIT 25MM,00-50003191,Others,piece,
TRISHUL BIT 30MM,00-50003192,Others,piece,
"TROLLEY WHEEL 4""",00-50002966,Others,piece,
U STAPLER GUN,00-50003152,Others,piece,
UCF 208/H HOUSING BEARING,00-50003963,Others,piece,
VACCUM CLEANER - HEAVY DUTY,00-50003281,Others,piece,
"WALL BRACKET FAN 24""",00-50002969,Others,piece,
"WALL PAINT SCRAPPER 3"" - KNIFE TYPE",00-50003526,Others,piece,
WINDOW SCRAPPER 0.28 - 170MM STANLEY,00-50003525,Others,piece,
WIRE CUTTER KNIFE,00-50003068,Others,piece,
WOODEN BISCUIT JOINT MACHINE,00-50003140,Others,set,
FORMAL SHIRT WITH EBROIDERY- BLACK,00-50002700,Others,piece,
FORMAL SHIRT WITH EBROIDERY- NAVY BLUE,00-50002698,Others,piece,
FORMAL SHIRT WITH EBROIDERY- WHITE,00-50002699,Others,piece,
POLO T-SHIRT BLACK - SIZE: L,00-50003567,Others,piece,
POLO T-SHIRT BLUE - SIZE: L,00-50003498,Others,piece,
POLO T-SHIRT BLUE - SIZE: M,00-50003497,Others,piece,
POLO T-SHIRT BLUE - SIZE: XXL,00-50003499,Others,piece,
POLO T-SHIRT DARK GREY,00-50003386,Others,piece,
POLO T-SHIRT DARK GREY - SIZE: L,00-50003490,Others,piece,
POLO T-SHIRT DARK GREY - SIZE: M,00-50003489,Others,piece,
POLO T-SHIRT DARK GREY - SIZE: XL,00-50003491,Others,piece,
POLO T-SHIRT DARK GREY - SIZE: XXL,00-50003492,Others,piece,
POLO T-SHIRT LIGHT GREY - SIZE: L,00-50003479,Others,piece,
POLO T-SHIRT LIGHT GREY - SIZE: M,00-50003478,Others,piece,
POLO T-SHIRT LIGHT GREY - SIZE: XL,00-50003480,Others,piece,
POLO T-SHIRT LIGHT GREY - SIZE: XXL,00-50003481,Others,piece,
POLO T-SHIRT NAVY BLUE,00-50003387,Others,piece,
POLO T-SHIRT NAVY BLUE - SIZE: L,00-50003483,Others,piece,
POLO T-SHIRT NAVY BLUE - SIZE: M,00-50003482,Others,piece,
POLO T-SHIRT NAVY BLUE - SIZE: XL,00-50003484,Others,piece,
POLO T-SHIRT NAVY BLUE - SIZE: XXL,00-50003485,Others,piece,
POLO T-SHIRT RED - SIZE: L,00-50003494,Others,piece,
POLO T-SHIRT RED - SIZE: M,00-50003493,Others,piece,
POLO T-SHIRT RED - SIZE: XL,00-50003495,Others,piece,
POLO T-SHIRT RED - SIZE: XXL,00-50003496,Others,piece,
POLO T-SHIRT WHITE,00-50002697,Others,piece,
POLO T-SHIRT WHITE - SIZE: L,00-50003486,Others,piece,
POLO T-SHIRT WHITE - SIZE: XL,00-50003487,Others,piece,
POLO T-SHIRT WHITE - SIZE: XXL,00-50003488,Others,piece,
FABRIC - 16515 - 241121 - 567,00-00000061,Others,m,
FABRIC - INTEGRA - 29 CAMOUFLAGE - FABRIC LIBRARY,00-50003272,Others,m,
FABRIC - SIT OUT - 07-COIN (FIBRE GUARD),00-50002899,Others,m,
HARD FOAM 20KG 200X100X1.5CM,00-50002876,Others,piece,
HARD FOAM 20KG 200X100X2CM,00-50003273,Others,piece,
HARD FOAM 3CM 20KG,00-50003654,Others,piece,
HARD FOAM 40KG 200X100X10CM,00-50003380,Others,piece,
HARD FOAM 40KG 200X100X5CM,00-50003608,Others,piece,
HARD FOAM 5CM 20KG,00-50003653,Others,piece,
SOFT FOAM 20KG 200X100X5CM,00-50003382,Others,piece,
SOFT FOAM 40KG 200X100X10CM,00-50002875,Others,piece,
ZIP NO-5 WHITE,00-50003643,Others,m,
AMERICAN WALNUT VENEER - QUARTER CUT,00-50003940,Others,sqm,
ASH VE CROWN CUT 2600X250,00-50003783,Others,sqm,
IROKO VENEER - CROWN CUT 2.5 LENGTH - AAA GRADE,00-50002891,Others,sqm,
IROKO VENEER - CROWN CUT 3 LENGTH - AAA GRADE,00-50003639,Others,sqm,
MAPLE VENEER - CROWN CUT 3.0 LENGTH - AAA GRADE,00-50003523,Others,sqm,
OAK BURL VENEER V047 - ALZAN,00-50003941,Others,sqm,
OAK VENEER - CROWN CUT 3 MTR LENGTH - AAA GRADE,00-50003845,Others,sqm,
OAK VENEER - CROWN CUT 3.5 LENGTH - AAA GRADE,00-50003397,Others,sqm,
OAK VENEER - QUARTER CUT 2.5 LENGTH - AAA GRADE,00-50002648,Others,sqm,
OAK VENEER - QUARTER CUT 3.1 LENGTH - AAA GRADE,00-50002825,Others,sqm,
RECON OAK VENEER - QUARTER CUT,00-50003458,Others,sqm,
RECON VENEER CROWN CUT FKK3031-FRITZ KOHL,00-50003740,Others,sheet,
RECON VENEER CROWN CUT FKK9141-FRITZ KOHL,00-50003645,Others,sqm,
RECON VENEER QUATER CUT ALZAN(RV-160),00-50003739,Others,sheet,
RECON WALNUT VE CROWN CUT ALZAN-RV015,00-50003742,Others,sqm,
WALNUT VENEER - CROWN CUT 2.5 LENGTH - AAA GRADE,00-50003265,Others,sqm,
WALNUT VENEER - CROWN CUT 3.1 LENGTH - AAA GRADE,00-50002872,Others,sqm,
WALNUT VENEER - CROWN CUT 3.3 LENGTH - AAA GRADE,00-50004026,Others,sqm,
WALNUT VENEER RECON - CROWN CUT,00-50003062,Others,sqm,
WHITE OAK VENEER - CROWN CUT,00-50003249,Others,sqm,
WHITE OAK VENEER - CROWN CUT 2.4 LENGTH - AAA GRADE,00-50002886,Others,sqm,
WHITE OAK VENEER QUARTER CUT,00-50003647,Others,sqm,
18MMX6X12 MDF MR O/S BOOK MATCHED BURL VENEER,00-00000140,Others,sheet,
0.5 HP WATER PUMP RR,00-50004039,Others,piece,
06MM SILVER BELGIUM MIRROR GLASS WITH ALL EDGE POLISH (AGC),00-50003504,Others,piece,
06MM THK ARCH TYPE MIRROR,00-50002202,Others,piece,
06MM X 4 X 8 MDF NORMAL MELAMINE B/S SF-123 - EMILAM,00-50000754,Others,sheet,
1 DOOR FITTINGS STRAIGHTAWAY 100 HCN01210,00-50004018,Others,set,
"1.5 HP MOTOR, 2800 RPM, 1 PHASE FOR AIR COMPRESSOR",00-50003534,Others,piece,
10MM CABLE LUGS,00-50004037,Others,piece,
"10mm Thk X 350mm X 350mm, with 8"" Dia X 400mm Height, Black Powder Coated",00-50003881,Others,piece,
"2 HP MOTOR, 2800 RPM, 1.5KW, 1 PHASE FOR AIR COMPRESSOR",00-50003874,Others,piece,
22MMX1MM PVC LIPPING - FB-13491-FC BIRMANIA - KALLEGRA,00-50003538,Others,m,
22MMX1MM PVC LIPPING (5254A194) TOP LINE,00-50003313,Others,m,
22MMX1MM PVC LIPPING (H3700-ST10) EGGER,00-50003571,Others,m,
22MMX1MM PVC LIPPING (P1027T-02) UNILAM,00-50000334,Others,roll,
22MMX1MM PVC LIPPING (SF123- EMILAM)100MTR,00-50000335,Others,roll,
3MM THK STAINLESS STEEL PIPE 40MM DIA,00-50001644,Others,m,
433.07.503 - 400mm Length Concealed/Bottom Mounted Drawer Runner with Soft and Self Closing Function - HAFELE,00-50003854,Others,pair,
4X8X0.7MM  HPL LAMINATE SF1804 EMILAM,00-50001819,Others,sheet,
4X8X0.8MM LAMINATE ASD-1039 - ALZAN,00-50003808,Others,sheet,
4X8X0.8MM LAMINATE ASD-1075 - ALZAN,00-50003807,Others,sheet,
4X8X0.8MM LAMINATE ASD-1105 - ALZAN,00-50003809,Others,sheet,
4X8X0.8MM LAMINATE ASD-1115 - ALZAN,00-50003810,Others,sheet,
4X8X0.8MM LAMINATE FB-13491-FC BIRMANIA - KALLEGRA,00-50003537,Others,sheet,
4X8X0.8MM LAMINATE MASTIC MF-125 EMILAM,00-50003286,Others,sheet,
4X8X0.8MM LAMINATE SDL 30305 GRN-SKYDECOR,00-50003674,Others,sheet,
4X8X0.8MM LAMINATE SDL 30308 SKR VINTAGE TEAK - SKYDECOR,00-50003638,Others,sheet,
4X8X0.8MM LAMINATE SDL 30309 SUD WHEAT WALNUT - SKYDECOR,00-50002956,Others,sheet,
4X8X0.8MM LAMINATE SDL-10121 SUD -SKYDECOR,00-50003287,Others,sheet,
4X8X0.8MM LAMINATE SDL-10127 SSR -SKYDECOR,00-50003636,Others,sheet,
4X8X0.8MM LAMINATE SF-1138 EMILAM,00-50003214,Others,sheet,
4X8X03MM PLAIN MDF - MADE IN THAILAND,00-50002778,Others,sheet,
4X8X06MM PLAIN MDF - MADE IN THAILAND,00-50002777,Others,sheet,
4X8X09MM  MR MDF WITH 1/S MELAMINE (CODE: SDL-10202),00-50003118,Others,sheet,
4X8X12MM  MR MDF WITH  2/S MELAMINE P1019 T-02 UNILAM,00-50000930,Others,sheet,
4X8X12MM MDF WITH 2/S MELAMINE W-2036-T09 UNILAM,00-50000679,Others,sheet,
4X8X12MM PLAIN MDF - MADE IN THAILAND,00-50002756,Others,sheet,
4X8X12MM PLAIN MDF - MADE IN THAILAND,00-50002776,Others,sheet,
4X8X18MM  MR MDF WITH 2/S MELAMINE (CODE: SDL-10202),00-50003117,Others,sheet,
4X8X18MM  NORMAL MDF WITH  2/S MELAMINE (Al SAMA SF1260K ALMOND),00-50000952,Others,sheet,
4X8X18MM MDF WITH 2/S MELAMINE W-2036-T09 UNILAM,00-50000279,Others,sheet,
4X8X18MM MR MDF - MADE IN THAILAND,00-50000839,Others,sheet,
4X8X18MM PLAIN MDF - MADE IN THAILAND,00-50000029,Others,sheet,
4X8X3MM  PLAIN MDF- THAILAND,00-50000953,Others,sheet,
4X8X3MM PLAIN MDF - MADE IN THAILAND,00-50003093,Others,sheet,
4X8X5MM  BEND  PLY HORIZONTAL,00-50003135,Others,sheet,
4X8X5MM  BEND  PLY VERTICAL,00-50003134,Others,sheet,
4X8X6MM  BEND  PLY VERTICAL,00-50000932,Others,sheet,
4X8X6MM BEND PLY HORIZONTAL AND VERTICAL,00-50003391,Others,sheet,
4X8X6MM MELAMINE B/S LAM-1,00-50003669,Others,sheet,
4X8X6MM MR MDF-MADE IN THAILAND,00-50000353,Others,sheet,
4X8X6MM NORMAL MDF WITH 2/S MELAMINE,00-50000860,Others,sheet,
4X8X9MM  NORMAL MDF WITH 2/S MELAMINE  (AL SAMA SF1260K ALMOND),00-50002410,Others,sheet,
4X8X9MM PLAIN MDF - MADE IN THAILAND,00-50000030,Others,sheet,
54mm x 915mm x 2135mm 60 Minutes Fire Rated Chipboard -AXIS Core FD60,00-50001647,Others,sheet,
54mm x 915mm x 2135mm 60 Minutes Fire Rated Chipboard -FIREBAN FD60,00-50002937,Others,sheet,
64mm x 1045mm x 2155mm 90 Minutes Fire Rated Chipboard - AXIS Core FD90,00-50001649,Others,sheet,
6MM THK BELGIUM MIRROR WITH ALL EDGE POLISH,00-50002427,Others,piece,
6X12X18MM  MR MDF - JUMBO,00-50000944,Others,sheet,
A TYPE HINGES-  FGV,00-50000926,Others,piece,
ADJUSTABLE LEG 27-64MM BLACK,00-50003786,Others,piece,
"ALDROP 10"" GOLD FINISH",00-50002332,Others,piece,
ALUMINIUM  SLIDING RAIL (TOP) S/A 180/250 FOR S/C (6M),00-50003369,Others,m,
ALUMINIUM PROFILE L TYPE,00-50002333,Others,piece,
ALUMINIUM SLIDING RAIL (TOP) SYSTEM 130 HCN13060,00-50003373,Others,m,
"ALUMINIUM U PROFILE SS FINISH,10MMX10MMX1.2MM THICK,3.6MTR LENGTH",00-50000273,Others,piece,
ALUMINIUM VENTILATION GRIL 600X500 MM - WHITE,00-50003630,Others,piece,
Angle Valve,00-50000167,Others,piece,
ARABIAN MAJLIS CARPET 5MTR X 5MTR - FOR TENT,00-50003877,Others,piece,
ARABIAN MAJLIS TENT WITH SEATING 5MTR X 5MTR,00-50003876,Others,piece,
ARM SLEEVES,00-50000773,Others,pair,
ARMORED CABLE,00-50002454,Others,m,
ARTISTIC BRUSH,00-50000697,Others,box,
ASMACO GOLD UNIVERSAL MULTIFOAM FIRE RETARDANT B2,00-50003999,Others,box,
ASSEMBLE OF VANITY,00-50004032,Others,m,
ASSEMBLING AND INSTALLATION OF KITCHEN CABINET - TALL UNIT,00-50003294,Others,unit,
ASSEMBLING KITCHEN CABINET-TALL UNIT,00-50003292,Others,m,
ASSEMBLING OF WARDROBE,00-50003318,Others,sqm,
AUTOMATIC FEEDING SIX-ROW DRILLING MACHINE,00-50003288,Others,piece,
Automatic high speed edge banding machine(Bevel edgebander):HD782,00-50003942,Others,piece,
AUTOMATIC PUMP CONTROLLER RR,00-50004040,Others,piece,
B TYPE HINGES-  FGV,00-50000903,Others,piece,
BACKING VENEER,00-50000867,Others,sqm,
BARCODE SCANNER,00-50002409,Others,set,
Basin Mixer,00-50000169,Others,piece,
BATTERY 100AMP FOR GENERATOR,00-50001179,Others,piece,
BEECH VENNER - CROWN CUT,00-50000768,Others,m,
BEECH VENNER - QUARTER CUT,00-50003109,Others,m,
Beech Wood,00-50000336,Others,ft,
BLADE FOR CNC - 602501 H37,00-50004021,Others,piece,
BLADE FOR CNC - HW TM 405-0 602501 H36,00-50000787,Others,piece,
BLADE FOR F9 - 250 X 3.0 X 80T LH/RH,00-50004041,Others,piece,
BOTTOM GUIDE FOR FA-75 HCN44353,00-50003376,Others,piece,
BOTTOM U CHANNEL ALU MF 25X25MM 3M HC44-2-10MF,00-50003372,Others,m,
BROOKLYN 60 M-XP IB ID PLUS KITCHNE SINK #115100023,00-50003842,Others,piece,
BROWN PAPER ROLL 90CM,00-50000272,Others,roll,
C376A A/Y CATALYST FOR PU @35% - ICA,00-50003329,Others,piece,
CABINET HANGER WALL UNIT L/R-HAFELE,00-50003690,Others,pair,
CABLE GLADING,00-50002456,Others,piece,
CABLE TIE BAND 7.6X300MM,00-50002301,Others,piece,
CARDBOARD EDGE PROTECTOR,00-50001092,Others,piece,
Catalyst for FR@50% 12.5ltr E/1015 IT,00-50003007,Others,liter,
CFK S.S. MORTICE LOCK CASE 85X45 MAB W/OUT CYL-- BLACK COLOR - MADE IN GERMANY,00-50003529,Others,piece,
CINEMA CHAIR WH-208 RED,00-50003792,Others,piece,
"CLAMP 5""",00-50002486,Others,piece,
"CLARKE ELECTRIC DRYWALL SANDER 10"" 800W",00-50003516,Others,piece,
CLEAR TAPE 2''X50 YARD,00-50000395,Others,box,
CNC BIT 225631 - ARDEN,00-50002144,Others,piece,
CNC BIT 3 X 15 X 40,00-50000720,Others,piece,
CNC BIT 3 X 15 X 50,00-50000719,Others,piece,
COMMERCIAL PLYWOOD INDONESIAN (LIGHT WEIGHT) 4X8X18MM,00-50002779,Others,sheet,
CONCEALED TOWER BOLT 500MM,00-50003896,Others,piece,
CONCEALED TOWER BOLT 610MM- GOLD COLOR,00-50000788,Others,piece,
CORNER L CONNECTOR FOR GOLA HANDLE PROFILE,00-50000276,Others,piece,
COTTON WASTE - WHITE,00-50000696,Others,bag,
CROSS LINE LASER WITH TRIPOD,00-50000817,Others,piece,
CRYSTAL CLEAR TEMPERED GLASS 8MM,00-50003776,Others,piece,
CYLINDER COVER SS FINISH - ROUND TYPE,00-50003352,Others,pair,
DECOR ACESSORY,00-50004014,Others,piece,
DECOR PLATE CS 3001GP,00-50004007,Others,piece,
DECOR STRIP 10MM x 2 MTR (1024-A-2M-GP),00-50004005,Others,m,
DECOR STRIP 15MM x 2 MTR (1024-A-2M-GP),00-50004006,Others,m,
DECRON ROLL 3CM,00-50003655,Others,roll,
DELL POWER EDGE R720 PSU,00-50000732,Others,piece,
DOOR FITTING STRAIGHTAWAY 130 HCN01308,00-50003374,Others,set,
DOOR FITTING STRAIGHTAWAY 180 HCN01815,00-50003370,Others,set,
DOOR HANDLE No-2461 BLACKSOFT TOUCH,00-50000785,Others,pair,
DOOR KNOB 28MM DIA - BLACK,00-50003621,Others,piece,
DOOR LEVER HANDLE WITH LOCK BODY AND 70MM CYLINDER,00-50003378,Others,set,
DOOR TRIGGER SENSOR FOR LED - DOUBLE,00-50003633,Others,piece,
DOOR TRIGGER SENSOR FOR LED - SINGLE,00-50003632,Others,piece,
DOUBLE FR SERVICE DOOR,00-50003836,Others,piece,
DOUBLE SOCKET 13A,00-50003522,Others,piece,
DRAWER CH S/M 350MM SOFT CLOSE-BLUM,00-50003785,Others,set,
DRAWER CHANNEL 200MM - BOTTOM RAIL,00-50003932,Others,pair,
DRAWER CHANNEL 400MM - BOTTOM RAIL - PUSH TO OPEN - BLUM,00-50003605,Others,pair,
DRAWER CHANNEL 450MM - BOTTOM RAIL,00-50000777,Others,pair,
"Drawer Channel 500mm, Soft Closing Bottom Mounted - FGV",00-50000858,Others,set,
DRYWALL SCREW 8X2 CLASSIC 500PCS/ PKT,00-50000259,Others,piece,
DUST STOPPER,00-50003670,Others,piece,
DYED PAINT - BLACK # 15063,00-50002655,Others,piece,
DYED PAINT - BROWN # 15062,00-50001016,Others,piece,
DYED PAINT - MAHOGANY # 15740,00-50001012,Others,piece,
DYED PAINT - TEAK # 15770,00-50001013,Others,piece,
DYED PAINT - WHITE # 12074,00-50003634,Others,piece,
"E/TZ614M-,18ltrs EVI PU Slow Dry Tinner",00-50003008,Others,liter,
